[2025-10-15 12:53:41.933] [INFO] Logger initialized
[2025-10-15 12:53:41.934] [INFO] Pipeline started successfully
[2025-10-15 12:53:41.935] [INFO] Preprocessing thread started
[2025-10-15 12:53:41.936] [INFO] Metrics thread started
[2025-10-15 12:53:41.938] [INFO] Inference thread started
[2025-10-15 12:54:49.647] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:50.662] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:51.674] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:52.681] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:53.684] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:54.690] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:55.697] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:56.714] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:57.732] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:58.742] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:54:59.752] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:00.768] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:01.781] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:02.803] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:03.810] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:04.829] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:05.831] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:06.849] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:07.862] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:08.877] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:09.884] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:10.899] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:11.912] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:12.921] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:13.932] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:14.939] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:15.956] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:16.973] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:17.981] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:19.002] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:20.021] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:21.043] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:22.059] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:23.076] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:24.088] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:25.107] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:26.151] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:27.160] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:28.169] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:29.177] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:30.185] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:31.196] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:32.211] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:33.216] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:34.234] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:35.278] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:36.299] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:37.328] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:38.390] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:39.403] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:40.439] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:41.447] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:42.465] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:43.616] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 12:55:44.621] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
